movie_title,mcu_phase,release_date,tomato_meter,audience_score,movie_duration,production_budget,opening_weekend,domestic_box_office,worldwide_box_office,profit,profit_rank
Spider-Man: No Way Home,4,2021-12-17,93,98,148,200000000,260138569,803975784,1891108035,1691108035,3
Eternals,4,2021-11-05,47,78,157,200000000,71297219,164870264,402064929,202064929,25
Shang-Chi and the Legend of the Ten Rings,4,2021-09-03,91,98,133,150000000,75388688,224543292,432243292,282243292,23
Black Widow,4,2021-07-09,79,91,133,200000000,80366312,183651655,379751655,179751655,26
Spider-Man: Far From Home,3,2019-07-02,90,95,129,160000000,92579212,390532085,1132532832,972532832,8
Avengers: End Game,3,2019-04-26,94,90,181,400000000,357115007,858373000,2797800564,2397800564,1
Captain Marvel,3,2019-03-08,79,45,124,175000000,153433423,426829839,1129727388,954727388,9
Ant-Man and the Wasp,3,2018-07-06,87,81,118,130000000,75812205,216648740,623144660,493144660,18
Avengers: Infinity War,3,2018-04-27,85,91,149,300000000,257698183,678815482,2048359754,1748359754,2
Black Panther,3,2018-02-16,96,79,134,200000000,202003951,700059566,1336494321,1136494321,5
Thor: Ragnarok,3,2017-11-03,93,87,130,180000000,122744989,315058289,850482778,670482778,12
Spider-Man: Homecoming,3,2017-07-07,92,87,133,175000000,117027503,334201140,878346440,703346440,11
Guardians of the Galaxy Vol. 2,3,2017-05-05,85,87,135,200000000,146510104,389813101,869113101,669113101,13
Doctor Strange,3,2016-11-04,89,86,115,165000000,85058311,232641920,676354481,511354481,16
Captain America: Civil War,3,2016-05-06,90,89,146,250000000,179139142,408084349,1151918521,901918521,10
Ant-Man,2,2015-07-17,83,85,117,130000000,57225526,180202163,518858449,388858449,21
Avengers: Age of Ultron,2,2015-05-01,76,83,141,365000000,191271109,459005868,1395316979,1030316979,6
Guardians of the Galaxy,2,2014-08-01,92,92,121,170000000,94320883,333714112,770882395,600882395,14
Captain America: The Winter Soldier,2,2014-04-04,90,92,135,170000000,95023721,259746958,714401889,544401889,15
Thor: The Dark World,2,2013-11-08,66,75,111,150000000,85737841,206362140,644602516,494602516,17
Iron Man 3,2,2013-05-03,79,78,130,200000000,174144585,408992272,1215392272,1015392272,7
The Avengers,1,2012-05-04,91,91,143,225000000,207438708,623357910,1515100211,1290100211,4
Captain America: The First Avenger,1,2011-07-22,79,75,124,140000000,65058524,176654505,370569776,230569776,24
Thor,1,2011-05-06,77,76,113,150000000,65723338,181030624,449326618,299326618,22
Iron Man 2,1,2010-05-07,72,71,124,170000000,128122480,312433331,621156389,451156389,19
The Incredible Hulk,1,2008-06-13,67,70,112,137500000,55414050,134806913,265573859,128073859,27
Iron Man,1,2008-05-02,94,91,126,186000000,102118668,318604126,585171547,399171547,20
